tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 4;2,020;3;30,529;32,467;Hartford, CT;Miami, FL (Metropolitan Area);18,700;102.57;173.53;74,200;-70.96;-0.4089;-55,500;-0.7480;;
Table 4;2,020;3;30,529;32,575;Hartford, CT;Los Angeles, CA (Metropolitan Area);14,670;188.85;346.29;49,370;-157.44;-0.4546;-34,700;-0.7029;;
Table 4;2,020;3;30,599;30,977;Birmingham, AL;Chicago, IL;6,520;144.97;242.10;33,080;-97.13;-0.4012;-26,560;-0.8029;;
Table 4;2,020;3;30,599;32,211;Birmingham, AL;Las Vegas, NV;7,680;173.90;303.46;12,930;-129.56;-0.4269;-5,250;-0.4060;;
Table 4;2,020;3;30,615;31,453;El Paso, TX;Houston, TX;15,990;156.21;266.80;35,490;-110.58;-0.4145;-19,500;-0.5494;;
Table 4;2,020;3;30,693;30,852;Nashville, TN;Washington, DC (Metropolitan Area);40,890;128.97;217.57;151,250;-88.60;-0.4072;-110,360;-0.7296;;
Table 4;2,020;3;30,693;33,495;Nashville, TN;New Orleans, LA;11,120;118.74;210.16;34,250;-91.42;-0.4350;-23,130;-0.6753;;
Table 4;2,020;3;30,721;30,977;Boston, MA (Metropolitan Area);Chicago, IL;60,840;111.24;185.42;507,020;-74.17;-0.4000;-446,180;-0.8800;;
Table 4;2,020;3;30,792;30,977;Buffalo, NY;Chicago, IL;8,440;116.94;197.44;53,470;-80.50;-0.4077;-45,030;-0.8422;;
Table 4;2,020;3;30,977;30,559;Chicago, IL;Seattle, WA;83,280;123.92;219.76;289,580;-95.84;-0.4361;-206,300;-0.7124;;
Table 4;2,020;3;30,977;31,123;Chicago, IL;St. Louis, MO;13,390;124.19;215.83;98,670;-91.63;-0.4246;-85,280;-0.8643;;
Table 4;2,020;3;30,977;33,244;Chicago, IL;Memphis, TN;17,540;126.03;216.25;50,250;-90.22;-0.4172;-32,710;-0.6510;;
Table 4;2,020;3;30,977;34,100;Chicago, IL;Philadelphia, PA;46,940;119.14;229.45;259,950;-110.31;-0.4808;-213,010;-0.8194;;
Table 4;2,020;3;31,057;30,529;Charlotte, NC;Hartford, CT;7,740;185.78;315.06;28,260;-129.28;-0.4103;-20,520;-0.7261;;
Table 4;2,020;3;31,057;30,977;Charlotte, NC;Chicago, IL;38,430;133.06;241.07;126,110;-108.02;-0.4481;-87,680;-0.6953;;
Table 4;2,020;3;31,057;34,100;Charlotte, NC;Philadelphia, PA;22,640;141.37;247.36;79,450;-105.99;-0.4285;-56,810;-0.7150;;
Table 4;2,020;3;31,123;30,852;St. Louis, MO;Washington, DC (Metropolitan Area);36,040;135.04;227.90;130,430;-92.86;-0.4075;-94,390;-0.7237;;
Table 4;2,020;3;31,453;30,693;Houston, TX;Nashville, TN;30,960;133.71;237.01;69,100;-103.30;-0.4358;-38,140;-0.5520;;
Table 4;2,020;3;31,453;31,123;Houston, TX;St. Louis, MO;28,730;131.58;258.28;56,900;-126.69;-0.4905;-28,170;-0.4951;;
Table 4;2,020;3;31,453;31,481;Houston, TX;Panama City, FL;12,570;143.60;240.18;11,810;-96.58;-0.4021;760;0.0644;;
Table 4;2,020;3;31,453;31,884;Houston, TX;Spokane, WA;6,290;182.70;324.20;9,800;-141.51;-0.4365;-3,510;-0.3582;;
Table 4;2,020;3;31,453;33,158;Houston, TX;Midland/Odessa, TX;22,860;155.75;297.02;71,660;-141.28;-0.4756;-48,800;-0.6810;;
Table 4;2,020;3;31,453;33,728;Houston, TX;Pensacola, FL;11,330;122.45;261.28;12,490;-138.83;-0.5314;-1,160;-0.0929;;
Table 4;2,020;3;31,453;33,851;Houston, TX;Oklahoma City, OK;14,880;135.09;228.31;52,360;-93.22;-0.4083;-37,480;-0.7158;;
Table 4;2,020;3;31,453;34,653;Houston, TX;Tulsa, OK;14,790;140.75;235.62;50,590;-94.87;-0.4026;-35,800;-0.7076;;
